EN,ASCII,Description,Compositional_strategy,Attribute,Label
plus signs,=D,ASCII '=D' does NOT represent 'plus signs',Direct,EMOTION,0
diamond shape,;),ASCII ';)' does NOT represent 'diamond shape',Direct,EMOTION,0
surprised,:-O,ASCII ':-O' represents 'surprised',Direct,EMOTION,1
extreme emphasis,^^^^^^,ASCII '^^^^^^' does NOT represent 'extreme emphasis',Reduplication,ACTION,0
happy walking,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'happy walking',Metaphorical,ACTION,0
neutral expression,o/,ASCII 'o/' does NOT represent 'neutral expression',Direct,ACTION,0
suggestive look,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'suggestive look',Metaphorical,ACTION,0
long line,------,ASCII '------' represents 'long line',Reduplication,OBJECT,1
star pattern,### # #,ASCII '### # #' does NOT represent 'star pattern',Semantic List,OBJECT,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
very happy,[],ASCII '[]' does NOT represent 'very happy',Direct,OBJECT,0
carefree joy,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'carefree joy',Metaphorical,ACTION,0
money symbols,^^ ^ ^^,ASCII '^^ ^ ^^' does NOT represent 'money symbols',Semantic List,EMOTION,0
long equals,lolololol,ASCII 'lolololol' does NOT represent 'long equals',Reduplication,EMOTION,0
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
many pluses,^^^^^^,ASCII '^^^^^^' does NOT represent 'many pluses',Reduplication,ACTION,0
backslash pattern,!!! ???,ASCII '!!! ???' does NOT represent 'backslash pattern',Semantic List,STATE,0
suggestive look,(҂◡_◡),ASCII '(҂◡_◡)' does NOT represent 'suggestive look',Metaphorical,QUALITY,0
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
x marks,$$$ $ $,ASCII '$$$ $ $' does NOT represent 'x marks',Semantic List,OBJECT,0
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
star pattern,*** ** *,ASCII '*** ** *' represents 'star pattern',Semantic List,OBJECT,1
asterisk pattern,OTL,ASCII 'OTL' does NOT represent 'asterisk pattern',Direct,ACTION,0
showing strength,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' represents 'showing strength',Metaphorical,ACTION,1
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
adding more,+++ + +,ASCII '+++ + +' represents 'adding more',Semantic List,ACTION,1
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
arrow right,-->,ASCII '-->' represents 'arrow right',Direct,OBJECT,1
vertical lines,|||,ASCII '|||' represents 'vertical lines',Direct,OBJECT,1
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
music note,✈,ASCII '✈' does NOT represent 'music note',Single,OBJECT,0
cool dancing,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' represents 'cool dancing',Metaphorical,ACTION,1
flexing muscles,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' represents 'flexing muscles',Metaphorical,ACTION,1
smiling,:-),ASCII ':-)' represents 'smiling',Direct,EMOTION,1
x marks,XXX X X,ASCII 'XXX X X' represents 'x marks',Semantic List,OBJECT,1
android smile,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'android smile',Metaphorical,ACTION,0
shock and confusion,ooo o o,ASCII 'ooo o o' does NOT represent 'shock and confusion',Semantic List,OBJECT,0
do not know,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' represents 'do not know',Metaphorical,STATE,1
tears of joy,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'tears of joy',Metaphorical,EMOTION,0
gentle smile,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'gentle smile',Metaphorical,EMOTION,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
hashtag emphasis,### # #,ASCII '### # #' represents 'hashtag emphasis',Semantic List,OBJECT,1
concerned look,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'concerned look',Metaphorical,ACTION,0
waving hand,</3,ASCII '</3' does NOT represent 'waving hand',Direct,OBJECT,0
winking,;),ASCII ';)' represents 'winking',Direct,EMOTION,1
equal signs,o/,ASCII 'o/' does NOT represent 'equal signs',Direct,ACTION,0
finger guns,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'finger guns',Metaphorical,ACTION,0
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
continuous laughing,######,ASCII '######' does NOT represent 'continuous laughing',Reduplication,OBJECT,0
hash pattern,<--,ASCII '<--' does NOT represent 'hash pattern',Direct,OBJECT,0
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
wavy line,~~~~~~,ASCII '~~~~~~' represents 'wavy line',Reduplication,OBJECT,1
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
heart shape,<3,ASCII '<3' represents 'heart shape',Direct,OBJECT,1
kissy hug,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' represents 'kissy hug',Metaphorical,ACTION,1
heart shape,{},ASCII '{}' does NOT represent 'heart shape',Direct,OBJECT,0
weird fighter,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' represents 'weird fighter',Metaphorical,STATE,1
star pattern,*** ** *,ASCII '*** ** *' represents 'star pattern',Semantic List,OBJECT,1
x marks,=) =) =),ASCII '=) =) =)' does NOT represent 'x marks',Semantic List,EMOTION,0
dots pattern,...,ASCII '...' represents 'dots pattern',Direct,OBJECT,1
many downs,======,ASCII '======' does NOT represent 'many downs',Reduplication,OBJECT,0
extreme emphasis,~~~~~~,ASCII '~~~~~~' does NOT represent 'extreme emphasis',Reduplication,OBJECT,0
total confusion,$$$$$$,ASCII '$$$$$$' does NOT represent 'total confusion',Reduplication,OBJECT,0
cute smile,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'cute smile',Metaphorical,QUALITY,0
both hands up,\o/,ASCII '\o/' represents 'both hands up',Direct,ACTION,1
showing strength,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' represents 'showing strength',Metaphorical,ACTION,1
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
horizontal line,___,ASCII '___' represents 'horizontal line',Direct,OBJECT,1
heart shape,\o,ASCII '\o' does NOT represent 'heart shape',Direct,ACTION,0
putting table back,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'putting table back',Metaphorical,ACTION,0
gentle grasp,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'gentle grasp',Metaphorical,EMOTION,0
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
equal signs,~~~,ASCII '~~~' does NOT represent 'equal signs',Direct,OBJECT,0
disapproval stare,(◉_◉),ASCII '(◉_◉)' does NOT represent 'disapproval stare',Metaphorical,STATE,0
cool attitude,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'cool attitude',Metaphorical,ACTION,0
fading lines,>>> <<<,ASCII '>>> <<<' does NOT represent 'fading lines',Semantic List,ACTION,0
arrow left,<--,ASCII '<--' represents 'arrow left',Direct,OBJECT,1
heavy emphasis,######,ASCII '######' represents 'heavy emphasis',Reduplication,OBJECT,1
bowing down,^_^,ASCII '^_^' does NOT represent 'bowing down',Direct,EMOTION,0
putting table back,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'putting table back',Metaphorical,STATE,0
dizzy face,@_@,ASCII '@_@' represents 'dizzy face',Direct,EMOTION,1
wave pattern,~~~,ASCII '~~~' represents 'wave pattern',Direct,OBJECT,1
hash pattern,###,ASCII '###' represents 'hash pattern',Direct,OBJECT,1
many ups,^^^^^^,ASCII '^^^^^^' represents 'many ups',Reduplication,ACTION,1
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
hashtag emphasis,+++ + +,ASCII '+++ + +' does NOT represent 'hashtag emphasis',Semantic List,ACTION,0
at symbols,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'at symbols',Semantic List,ACTION,0
fading lines,\\ \ \\,ASCII '\\ \ \\' does NOT represent 'fading lines',Semantic List,OBJECT,0
smiling,>:(,ASCII '>:(' does NOT represent 'smiling',Direct,EMOTION,0
up and down,<3 <3 <3,ASCII '<3 <3 <3' does NOT represent 'up and down',Semantic List,EMOTION,0
finger guns,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' does NOT represent 'finger guns',Metaphorical,ACTION,0
many ups,<<<<<<,ASCII '<<<<<<' does NOT represent 'many ups',Reduplication,ACTION,0
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
sly expression,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'sly expression',Metaphorical,ACTION,0
creepy reach,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'creepy reach',Metaphorical,QUALITY,0
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
total confusion,?????,ASCII '?????' represents 'total confusion',Reduplication,STATE,1
three stars,* * *,ASCII '* * *' represents 'three stars',Semantic List,OBJECT,1
slash pattern,// / //,ASCII '// / //' represents 'slash pattern',Semantic List,OBJECT,1
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
crying sadly,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'crying sadly',Metaphorical,ACTION,0
laughing sound,$$$$$$,ASCII '$$$$$$' does NOT represent 'laughing sound',Reduplication,OBJECT,0
do not know,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' represents 'do not know',Metaphorical,STATE,1
putting table back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' represents 'putting table back',Metaphorical,ACTION,1
carefree joy,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' represents 'carefree joy',Metaphorical,EMOTION,1
heavy emphasis,######,ASCII '######' represents 'heavy emphasis',Reduplication,OBJECT,1
annoyed expression,###,ASCII '###' does NOT represent 'annoyed expression',Direct,OBJECT,0
happy face,[],ASCII '[]' does NOT represent 'happy face',Direct,OBJECT,0
swaying dance,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'swaying dance',Metaphorical,EMOTION,0
winking,:-O,ASCII ':-O' does NOT represent 'winking',Direct,EMOTION,0
many ands,&&&&&&,ASCII '&&&&&&' represents 'many ands',Reduplication,OBJECT,1
dancing to music,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' represents 'dancing to music',Metaphorical,ACTION,1
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
many ands,^^^^^^,ASCII '^^^^^^' does NOT represent 'many ands',Reduplication,ACTION,0
frowning,:-(,ASCII ':-(' represents 'frowning',Direct,EMOTION,1
asterisk pattern,*_*,ASCII '*_*' does NOT represent 'asterisk pattern',Direct,EMOTION,0
extreme laughter,XDXDXD,ASCII 'XDXDXD' represents 'extreme laughter',Reduplication,EMOTION,1
circle pattern,!!! ???,ASCII '!!! ???' does NOT represent 'circle pattern',Semantic List,STATE,0
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
many stars,zzzzzz,ASCII 'zzzzzz' does NOT represent 'many stars',Reduplication,STATE,0
android smile,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'android smile',Metaphorical,EMOTION,0
angry face,*_*,ASCII '*_*' does NOT represent 'angry face',Direct,EMOTION,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
happy walking,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' does NOT represent 'happy walking',Metaphorical,STATE,0
cute smile,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'cute smile',Metaphorical,EMOTION,0
shock and confusion,!!! ???,ASCII '!!! ???' represents 'shock and confusion',Semantic List,STATE,1
raising hand,XD,ASCII 'XD' does NOT represent 'raising hand',Direct,EMOTION,0
concerned look,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' represents 'concerned look',Metaphorical,EMOTION,1
happy face,:),ASCII ':)' represents 'happy face',Direct,EMOTION,1
heavy emphasis,@@@@@@,ASCII '@@@@@@' does NOT represent 'heavy emphasis',Reduplication,OBJECT,0
arrow progression,-> --> --->,ASCII '-> --> --->' represents 'arrow progression',Semantic List,ACTION,1
hands on head,/o\,ASCII '/o\' represents 'hands on head',Direct,ACTION,1
group smiling,=) =) =),ASCII '=) =) =)' represents 'group smiling',Semantic List,EMOTION,1
crying sadly,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'crying sadly',Metaphorical,ACTION,0
content smile,_/\_,ASCII '_/\_' does NOT represent 'content smile',Direct,ACTION,0
diamond suit,♣,ASCII '♣' does NOT represent 'diamond suit',Single,OBJECT,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
percent signs,%%% % %,ASCII '%%% % %' represents 'percent signs',Semantic List,OBJECT,1
carefree joy,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'carefree joy',Metaphorical,EMOTION,0
reverse arrows,<- <-- <---,ASCII '<- <-- <---' represents 'reverse arrows',Semantic List,ACTION,1
gentle smile,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'gentle smile',Metaphorical,STATE,0
many downs,lolololol,ASCII 'lolololol' does NOT represent 'many downs',Reduplication,EMOTION,0
wavy line,~~~~~~,ASCII '~~~~~~' represents 'wavy line',Reduplication,OBJECT,1
extreme emphasis,%%%%%%,ASCII '%%%%%%' does NOT represent 'extreme emphasis',Reduplication,OBJECT,0
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
x marks,|| | ||,ASCII '|| | ||' does NOT represent 'x marks',Semantic List,OBJECT,0
love symbol,♥,ASCII '♥' represents 'love symbol',Single,EMOTION,1
star pattern,ooo o o,ASCII 'ooo o o' does NOT represent 'star pattern',Semantic List,OBJECT,0
diamond shape,<>,ASCII '<>' represents 'diamond shape',Direct,OBJECT,1
dancing to music,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' does NOT represent 'dancing to music',Metaphorical,ACTION,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
star pattern,+++ + +,ASCII '+++ + +' does NOT represent 'star pattern',Semantic List,ACTION,0
horizontal line,\o_,ASCII '\o_' does NOT represent 'horizontal line',Direct,ACTION,0
sad symbol,☹,ASCII '☹' represents 'sad symbol',Single,EMOTION,1
envelope symbol,✉,ASCII '✉' represents 'envelope symbol',Single,OBJECT,1
intense anger,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' does NOT represent 'intense anger',Metaphorical,ACTION,0
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
annoyed expression,-_-,ASCII '-_-' represents 'annoyed expression',Direct,EMOTION,1
angry face,_/\_,ASCII '_/\_' does NOT represent 'angry face',Direct,ACTION,0
backslash pattern,... . . .,ASCII '... . . .' does NOT represent 'backslash pattern',Semantic List,STATE,0
gentle smile,(✿◠‿◠),ASCII '(✿◠‿◠)' represents 'gentle smile',Metaphorical,EMOTION,1
creepy reach,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'creepy reach',Metaphorical,ACTION,0
playful tongue,:P,ASCII ':P' represents 'playful tongue',Direct,EMOTION,1
kissy hug,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' represents 'kissy hug',Metaphorical,ACTION,1
many ats,@@@@@@,ASCII '@@@@@@' represents 'many ats',Reduplication,OBJECT,1
arrow left,<--,ASCII '<--' represents 'arrow left',Direct,OBJECT,1
multiple hearts,*** ** *,ASCII '*** ** *' does NOT represent 'multiple hearts',Semantic List,OBJECT,0
disapproval stare,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'disapproval stare',Metaphorical,QUALITY,0
bracket types,[ ] { } ( ),ASCII '[ ] { } ( )' represents 'bracket types',Semantic List,OBJECT,1
content smile,=),ASCII '=)' represents 'content smile',Direct,EMOTION,1
laughing sound,hahahahaha,ASCII 'hahahahaha' represents 'laughing sound',Reduplication,EMOTION,1
arrow down,\o/,ASCII '\o/' does NOT represent 'arrow down',Direct,ACTION,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
extreme frustration,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'extreme frustration',Metaphorical,EMOTION,0
arrow down,~~~,ASCII '~~~' does NOT represent 'arrow down',Direct,OBJECT,0
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
star pattern,$$$ $ $,ASCII '$$$ $ $' does NOT represent 'star pattern',Semantic List,OBJECT,0
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
cute smile,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'cute smile',Metaphorical,EMOTION,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
offering hug,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'offering hug',Metaphorical,STATE,0
heavy emphasis,======,ASCII '======' does NOT represent 'heavy emphasis',Reduplication,OBJECT,0
diamond suit,♦,ASCII '♦' represents 'diamond suit',Single,OBJECT,1
pure happiness,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' does NOT represent 'pure happiness',Metaphorical,ACTION,0
group smiling,=) =) =),ASCII '=) =) =)' represents 'group smiling',Semantic List,EMOTION,1
increasing excitement,*** ** *,ASCII '*** ** *' does NOT represent 'increasing excitement',Semantic List,OBJECT,0
putting on glasses,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'putting on glasses',Metaphorical,ACTION,0
dizzy face,-->,ASCII '-->' does NOT represent 'dizzy face',Direct,OBJECT,0
intense anger,(ㆆ_ㆆ),ASCII '(ㆆ_ㆆ)' does NOT represent 'intense anger',Metaphorical,EMOTION,0
person waving,_o/,ASCII '_o/' represents 'person waving',Direct,ACTION,1
deep sleep,zzzzzz,ASCII 'zzzzzz' represents 'deep sleep',Reduplication,STATE,1
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
arrow left,|||,ASCII '|||' does NOT represent 'arrow left',Direct,OBJECT,0
reverse arrows,<- <-- <---,ASCII '<- <-- <---' represents 'reverse arrows',Semantic List,ACTION,1
at symbols,--- - -,ASCII '--- - -' does NOT represent 'at symbols',Semantic List,OBJECT,0
praying hands,_/\_,ASCII '_/\_' represents 'praying hands',Direct,ACTION,1
many ups,======,ASCII '======' does NOT represent 'many ups',Reduplication,OBJECT,0
broken heart,</3,ASCII '</3' represents 'broken heart',Direct,OBJECT,1
empty star,☃,ASCII '☃' does NOT represent 'empty star',Single,OBJECT,0
do not know,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'do not know',Metaphorical,STATE,0
ellipsis pattern,&&& & &,ASCII '&&& & &' does NOT represent 'ellipsis pattern',Semantic List,OBJECT,0
happy eyes pattern,^^ ^ ^^,ASCII '^^ ^ ^^' represents 'happy eyes pattern',Semantic List,EMOTION,1
many ands,------,ASCII '------' does NOT represent 'many ands',Reduplication,OBJECT,0
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
on the floor,OTL,ASCII 'OTL' represents 'on the floor',Direct,ACTION,1
happy eyes pattern,^^ ^ ^^,ASCII '^^ ^ ^^' represents 'happy eyes pattern',Semantic List,EMOTION,1
three stars,* * *,ASCII '* * *' represents 'three stars',Semantic List,OBJECT,1
arrow up,:-|,ASCII ':-|' does NOT represent 'arrow up',Direct,EMOTION,0
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
kissy hug,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'kissy hug',Metaphorical,ACTION,0
putting table back,(◉_◉),ASCII '(◉_◉)' does NOT represent 'putting table back',Metaphorical,STATE,0
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
weird fighter,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' does NOT represent 'weird fighter',Metaphorical,EMOTION,0
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
person waving,_o/,ASCII '_o/' represents 'person waving',Direct,ACTION,1
person celebrating,:-),ASCII ':-)' does NOT represent 'person celebrating',Direct,EMOTION,0
flower girl,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' does NOT represent 'flower girl',Metaphorical,EMOTION,0
circle shape,o,ASCII 'o' represents 'circle shape',Direct,OBJECT,1
adding more,^^ ^ ^^,ASCII '^^ ^ ^^' does NOT represent 'adding more',Semantic List,EMOTION,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
hash pattern,OTL,ASCII 'OTL' does NOT represent 'hash pattern',Direct,ACTION,0
back and forth,### # #,ASCII '### # #' does NOT represent 'back and forth',Semantic List,OBJECT,0
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
flexing muscles,ᕙ(⇀‸↼‶)ᕗ,ASCII 'ᕙ(⇀‸↼‶)ᕗ' represents 'flexing muscles',Metaphorical,ACTION,1
curly brackets,{},ASCII '{}' represents 'curly brackets',Direct,OBJECT,1
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
heart shape,<3,ASCII '<3' represents 'heart shape',Direct,OBJECT,1
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
laughing sound,>>>>>>,ASCII '>>>>>>' does NOT represent 'laughing sound',Reduplication,ACTION,0
wide eyed,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'wide eyed',Metaphorical,ACTION,0
long line,------,ASCII '------' represents 'long line',Reduplication,OBJECT,1
dancing happily,(•_•),ASCII '(•_•)' does NOT represent 'dancing happily',Metaphorical,STATE,0
gentle grasp,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'gentle grasp',Metaphorical,QUALITY,0
cute smile,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'cute smile',Metaphorical,ACTION,0
music note,☁,ASCII '☁' does NOT represent 'music note',Single,OBJECT,0
ampersands,??? ? ?,ASCII '??? ? ?' does NOT represent 'ampersands',Semantic List,STATE,0
extreme emphasis,@@@@@@,ASCII '@@@@@@' does NOT represent 'extreme emphasis',Reduplication,OBJECT,0
weird fighter,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'weird fighter',Metaphorical,ACTION,0
weird fighter,(◕‿◕✿),ASCII '(◕‿◕✿)' does NOT represent 'weird fighter',Metaphorical,QUALITY,0
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
many pluses,++++++,ASCII '++++++' represents 'many pluses',Reduplication,OBJECT,1
swaying dance,(~˘▾˘)~,ASCII '(~˘▾˘)~' represents 'swaying dance',Metaphorical,ACTION,1
ellipsis pattern,.. . ..,ASCII '.. . ..' represents 'ellipsis pattern',Semantic List,STATE,1
carefree joy,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'carefree joy',Metaphorical,ACTION,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
many ands,vvvvvv,ASCII 'vvvvvv' does NOT represent 'many ands',Reduplication,ACTION,0
bowing down,orz,ASCII 'orz' represents 'bowing down',Direct,ACTION,1
hashtag emphasis,... . . .,ASCII '... . . .' does NOT represent 'hashtag emphasis',Semantic List,STATE,0
do not know,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'do not know',Metaphorical,ACTION,0
squinting eyes,:),ASCII ':)' does NOT represent 'squinting eyes',Direct,EMOTION,0
bar pattern,TT T TT,ASCII 'TT T TT' does NOT represent 'bar pattern',Semantic List,EMOTION,0
gentle grasp,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' represents 'gentle grasp',Metaphorical,ACTION,1
hashtag emphasis,*** ** *,ASCII '*** ** *' does NOT represent 'hashtag emphasis',Semantic List,OBJECT,0
circle shape,:),ASCII ':)' does NOT represent 'circle shape',Direct,EMOTION,0
cute smile,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'cute smile',Metaphorical,ACTION,0
